Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
com.samsung.shealth.exercise.recovery_heart_rate;6261011;2;;;;;;;;;;
create_sh_ver;start_time;modify_sh_ver;update_time;create_time;time_offset;deviceuuid;exercise_id;pkg_name;end_time;datauuid;heart_rate;
;2022-10-24 01:00:22.045;;2022-10-24 01:02:22.191;2022-10-24 01:02:22.191;UTC-0300;5DkUXOKlpz;0b267edd-f2d0-48a8-9810-26878ffe4f7d;com.sec.android.app.shealth;2022-10-24 01:02:22.045;7aed48aa-69b8-449a-83f7-048612984002;7aed48aa-69b8-449a-83f7-048612984002.heart_rate.json;
;2022-10-24 12:56:00.898;;2022-10-24 12:58:01.189;2022-10-24 12:58:01.189;UTC-0300;5DkUXOKlpz;264e11c4-9d3f-4d71-a134-1eef42de2d51;com.sec.android.app.shealth;2022-10-24 12:58:00.898;22dd0d2a-c5a7-4334-bd2d-3b609124dd07;22dd0d2a-c5a7-4334-bd2d-3b609124dd07.heart_rate.json;
;2022-10-25 12:55:02.476;;2022-10-25 12:57:02.610;2022-10-25 12:57:02.610;UTC-0300;5DkUXOKlpz;a1e374e6-7c59-4e71-a7bc-f5826e3b24ba;com.sec.android.app.shealth;2022-10-25 12:57:02.476;b90a0e38-881d-484d-982e-f8fb0ed0e3e1;b90a0e38-881d-484d-982e-f8fb0ed0e3e1.heart_rate.json;
;2022-10-27 22:36:57.109;;2022-10-27 22:38:57.220;2022-10-27 22:38:57.220;UTC-0300;5DkUXOKlpz;3a051c94-d650-45c7-9e71-b5d500c3fd38;com.sec.android.app.shealth;2022-10-27 22:38:57.109;ac4a95c4-0369-4686-9712-93131872b6eb;ac4a95c4-0369-4686-9712-93131872b6eb.heart_rate.json;
;2022-10-31 12:58:56.718;;2022-10-31 13:00:57.242;2022-10-31 13:00:57.242;UTC-0300;5DkUXOKlpz;1b133234-17bc-44c5-b134-5317c024b5c8;com.sec.android.app.shealth;2022-10-31 13:00:56.718;d10aecaa-eaa0-4718-a0f2-1b542c479c23;d10aecaa-eaa0-4718-a0f2-1b542c479c23.heart_rate.json;
;2022-11-04 13:01:02.666;;2022-11-04 13:09:00.297;2022-11-04 13:09:00.297;UTC-0300;5DkUXOKlpz;19fb5e2c-bbf6-498b-9258-eac63bc3925b;com.sec.android.app.shealth;2022-11-04 13:03:02.666;be5e0703-a983-44ec-ab2f-1b061f50a6ca;be5e0703-a983-44ec-ab2f-1b061f50a6ca.heart_rate.json;
;2022-11-07 12:53:02.369;;2022-11-07 12:55:02.492;2022-11-07 12:55:02.492;UTC-0300;5DkUXOKlpz;51fb09ad-0ab7-4144-a0d7-347abd65839a;com.sec.android.app.shealth;2022-11-07 12:55:02.369;dabdc97a-d9b7-4aa1-9dd2-91ecfefdfb67;dabdc97a-d9b7-4aa1-9dd2-91ecfefdfb67.heart_rate.json;
;2022-11-10 12:52:52.159;;2022-11-10 12:54:52.241;2022-11-10 12:54:52.241;UTC-0300;5DkUXOKlpz;7a459635-a6f0-42ee-bd08-5279f6977b1d;com.sec.android.app.shealth;2022-11-10 12:54:52.159;c200fe21-3954-46b5-bdd9-5db3e978a11b;c200fe21-3954-46b5-bdd9-5db3e978a11b.heart_rate.json;
;2022-11-17 12:58:10.855;;2022-11-17 13:00:11.275;2022-11-17 13:00:11.275;UTC-0300;5DkUXOKlpz;c62728b2-2621-4a9c-a038-ba99112ac9b1;com.sec.android.app.shealth;2022-11-17 13:00:10.855;afe64806-53cf-4ee1-aac8-55f968827b0d;afe64806-53cf-4ee1-aac8-55f968827b0d.heart_rate.json;
;2022-11-18 12:53:47.739;;2022-11-18 12:55:48.263;2022-11-18 12:55:48.263;UTC-0300;5DkUXOKlpz;ebbef595-e9a3-4022-b3e4-09a80290bf3f;com.sec.android.app.shealth;2022-11-18 12:55:47.739;85733c2b-c5fb-46d9-8b33-dfca6d435d58;85733c2b-c5fb-46d9-8b33-dfca6d435d58.heart_rate.json;
;2022-11-19 13:19:22.102;;2022-11-19 13:21:22.242;2022-11-19 13:21:22.242;UTC-0300;5DkUXOKlpz;8fd10692-85e6-4c9e-b38b-e39770887cec;com.sec.android.app.shealth;2022-11-19 13:21:22.102;54154637-f112-492c-a4bd-c5665183b19c;54154637-f112-492c-a4bd-c5665183b19c.heart_rate.json;
;2022-11-22 12:55:48.656;;2022-11-22 12:57:49.292;2022-11-22 12:57:49.292;UTC-0300;5DkUXOKlpz;60fe1eef-b6d0-4a80-90ed-a5b2ef413b43;com.sec.android.app.shealth;2022-11-22 12:57:48.656;e8561497-a73a-4fc4-be46-8e75f25f8c4e;e8561497-a73a-4fc4-be46-8e75f25f8c4e.heart_rate.json;
;2022-11-24 13:04:11.446;;2022-11-24 13:09:01.210;2022-11-24 13:09:01.210;UTC-0300;5DkUXOKlpz;33a0c5d4-be9d-437a-9755-f590556ad87c;com.sec.android.app.shealth;2022-11-24 13:06:11.446;e447d603-fb0d-42f1-847b-587c008de5bd;e447d603-fb0d-42f1-847b-587c008de5bd.heart_rate.json;
;2022-11-26 12:49:23.852;;2022-11-26 12:49:31.682;2022-11-26 12:49:31.682;UTC-0300;5DkUXOKlpz;c4503ae8-ad91-4bb3-82fd-ef32d6341671;com.sec.android.app.shealth;2022-11-26 12:49:31.659;2e5a400f-cb9f-42bd-82b9-4fb02aad8887;2e5a400f-cb9f-42bd-82b9-4fb02aad8887.heart_rate.json;
;2022-11-26 13:01:31.114;;2022-11-26 13:03:32.289;2022-11-26 13:03:32.289;UTC-0300;5DkUXOKlpz;c973896b-f906-45c9-b4f8-c25f9a0268f6;com.sec.android.app.shealth;2022-11-26 13:03:31.114;cdd052db-c04b-46f0-97d3-ec4df8a823f5;cdd052db-c04b-46f0-97d3-ec4df8a823f5.heart_rate.json;
;2022-11-26 13:13:30.949;;2022-11-26 13:15:31.181;2022-11-26 13:15:31.181;UTC-0300;5DkUXOKlpz;e9044070-3b3b-4c5b-b508-f7b1e28199db;com.sec.android.app.shealth;2022-11-26 13:15:30.949;98439c32-4239-4850-beb5-09d6814ddcf1;98439c32-4239-4850-beb5-09d6814ddcf1.heart_rate.json;
;2022-11-28 12:40:13.247;;2022-11-28 12:42:13.354;2022-11-28 12:42:13.354;UTC-0300;5DkUXOKlpz;5966cbea-19ce-4c7e-9609-23c77cb87575;com.sec.android.app.shealth;2022-11-28 12:42:13.247;79d3e092-7622-43ee-9b98-c36caa86d40f;79d3e092-7622-43ee-9b98-c36caa86d40f.heart_rate.json;
;2022-11-29 13:01:11.345;;2022-11-29 13:03:11.576;2022-11-29 13:03:11.576;UTC-0300;5DkUXOKlpz;087ff4ae-51d2-4a5d-b765-45deecd52d01;com.sec.android.app.shealth;2022-11-29 13:03:11.345;c089c540-e440-4cf6-8667-c76d3fe50021;c089c540-e440-4cf6-8667-c76d3fe50021.heart_rate.json;
;2022-12-01 12:54:54.984;;2022-12-01 12:57:09.186;2022-12-01 12:57:09.186;UTC-0300;5DkUXOKlpz;13d9eabd-6aa7-4a91-a36f-54a23032defd;com.sec.android.app.shealth;2022-12-01 12:56:54.984;b7311e8f-4625-45f6-a746-2aa507761d87;b7311e8f-4625-45f6-a746-2aa507761d87.heart_rate.json;
;2022-12-06 12:58:03.562;;2022-12-06 13:00:03.641;2022-12-06 13:00:03.641;UTC-0300;5DkUXOKlpz;8924b3f4-23b8-4e0c-91f7-fa982ff31f39;com.sec.android.app.shealth;2022-12-06 13:00:03.562;2dec6612-f923-4b83-8952-907b59ab7777;2dec6612-f923-4b83-8952-907b59ab7777.heart_rate.json;
;2022-12-08 12:58:11.162;;2022-12-08 13:00:11.250;2022-12-08 13:00:11.250;UTC-0300;5DkUXOKlpz;18c6b4e4-8950-4818-8346-06d1b88d89f6;com.sec.android.app.shealth;2022-12-08 13:00:11.162;8bdbe722-396e-4ada-8454-6fded90b4540;8bdbe722-396e-4ada-8454-6fded90b4540.heart_rate.json;
;2022-12-12 12:56:53.604;;2022-12-12 12:58:54.240;2022-12-12 12:58:54.240;UTC-0300;5DkUXOKlpz;e3d28e11-3af8-4024-b1c6-2e49f01a64c9;com.sec.android.app.shealth;2022-12-12 12:58:53.604;20007de5-1f4f-4550-9a5d-ff2334b952eb;20007de5-1f4f-4550-9a5d-ff2334b952eb.heart_rate.json;
;2022-12-13 12:57:20.118;;2022-12-13 12:59:20.202;2022-12-13 12:59:20.202;UTC-0300;5DkUXOKlpz;a4d6740a-08bc-4926-8da1-c079a64ad206;com.sec.android.app.shealth;2022-12-13 12:59:20.118;99380154-e5c9-4162-8cb6-afb6ce212d59;99380154-e5c9-4162-8cb6-afb6ce212d59.heart_rate.json;
;2022-12-19 12:56:28.367;;2022-12-19 12:58:28.438;2022-12-19 12:58:28.438;UTC-0300;5DkUXOKlpz;8c113b79-ba1e-4468-9695-37027cfb9541;com.sec.android.app.shealth;2022-12-19 12:58:28.367;8a05ac12-19e9-46b3-aeba-b9abd2ee0e7c;8a05ac12-19e9-46b3-aeba-b9abd2ee0e7c.heart_rate.json;
;2022-12-20 12:55:27.628;;2022-12-20 12:57:28.229;2022-12-20 12:57:28.229;UTC-0300;5DkUXOKlpz;4ab26a4a-6b8a-4f35-a3e4-8b1e01b50eb5;com.sec.android.app.shealth;2022-12-20 12:57:27.628;25634382-dc1d-4db9-ad17-5ed81daef9c6;25634382-dc1d-4db9-ad17-5ed81daef9c6.heart_rate.json;
;2022-12-22 13:01:16.143;;2022-12-22 13:09:00.146;2022-12-22 13:09:00.146;UTC-0300;5DkUXOKlpz;5726d2fb-8b21-4179-91bd-0dee30a367b1;com.sec.android.app.shealth;2022-12-22 13:03:16.143;7b1a157c-0c45-4f47-89df-abac2dcce044;7b1a157c-0c45-4f47-89df-abac2dcce044.heart_rate.json;
;2022-12-26 14:03:17.436;;2022-12-26 14:05:17.576;2022-12-26 14:05:17.576;UTC-0300;5DkUXOKlpz;2c0a9596-946f-443f-a393-ad7a4df67db8;com.sec.android.app.shealth;2022-12-26 14:05:17.436;367eec02-e2cc-43eb-87df-3e12891ba895;367eec02-e2cc-43eb-87df-3e12891ba895.heart_rate.json;
;2022-12-27 13:16:50.138;;2022-12-27 13:18:50.250;2022-12-27 13:18:50.250;UTC-0300;5DkUXOKlpz;0897a792-7dba-4115-8ce4-8d871ca5759a;com.sec.android.app.shealth;2022-12-27 13:18:50.138;c08426dd-fa9b-4a91-b2d4-263a224b9e32;c08426dd-fa9b-4a91-b2d4-263a224b9e32.heart_rate.json;
;2022-12-29 13:17:36.362;;2022-12-29 13:19:36.278;2022-12-29 13:19:36.278;UTC-0300;5DkUXOKlpz;a9a03895-874d-4de4-b7b2-e82c140ff379;com.sec.android.app.shealth;2022-12-29 13:19:36.250;f70237ea-5172-4047-b0ce-babd8e5f97ea;f70237ea-5172-4047-b0ce-babd8e5f97ea.heart_rate.json;
;2023-01-01 13:03:50.107;;2023-01-01 13:05:51.287;2023-01-01 13:05:51.287;UTC-0300;5DkUXOKlpz;b63a0973-8b36-49e2-b386-5202a98b7be9;com.sec.android.app.shealth;2023-01-01 13:05:50.107;c4771322-d9ba-4ef2-9b0c-41949f4f2a25;c4771322-d9ba-4ef2-9b0c-41949f4f2a25.heart_rate.json;
;2023-01-03 13:01:19.114;;2023-01-03 13:05:34.937;2023-01-03 13:05:34.937;UTC-0300;5DkUXOKlpz;07f34287-2422-4ac6-bde9-ead5ea6b5470;com.sec.android.app.shealth;2023-01-03 13:03:19.114;bad5503e-e1c7-4a68-947c-985fbd078a09;bad5503e-e1c7-4a68-947c-985fbd078a09.heart_rate.json;
;2023-01-05 12:55:17.626;;2023-01-05 12:57:18.268;2023-01-05 12:57:18.268;UTC-0300;5DkUXOKlpz;ab94e21f-7c3a-40df-9a7d-37414b5637c0;com.sec.android.app.shealth;2023-01-05 12:57:17.626;7e4e8010-de42-4139-993a-498e8ec18e5d;7e4e8010-de42-4139-993a-498e8ec18e5d.heart_rate.json;
;2023-01-10 12:57:15.320;;2023-01-10 12:59:16.268;2023-01-10 12:59:16.268;UTC-0300;5DkUXOKlpz;b0cf41ff-1c6d-4417-b56d-21e85aae275d;com.sec.android.app.shealth;2023-01-10 12:59:15.320;e657e5fb-69c9-4da6-a152-0e599a8daa78;e657e5fb-69c9-4da6-a152-0e599a8daa78.heart_rate.json;
